Date,Weekly U.S. Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Weekly East Coast Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Weekly New England (PADD 1A) Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Weekly Midwest Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Weekly Gulf Coast Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain Regular Conventional Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast Regular Conventional Retail Gasoline Prices  (Dollars per Gallon)
40182,2.627,2.657,2.725,2.749,2.623,2.625,2.535,2.509,2.795
40189,2.717,2.755,2.801,2.851,2.722,2.716,2.625,2.578,2.87
40196,2.703,2.758,2.805,2.832,2.731,2.672,2.627,2.617,2.87
40203,2.666,2.728,2.785,2.8,2.702,2.614,2.6,2.622,2.86
40210,2.618,2.682,2.748,2.761,2.653,2.555,2.554,2.615,2.84
40217,2.611,2.66,2.729,2.747,2.627,2.567,2.527,2.619,2.825
40224,2.563,2.622,2.699,2.706,2.591,2.494,2.501,2.602,2.798
40231,2.621,2.652,2.7,2.728,2.625,2.591,2.549,2.617,2.82
40238,2.671,2.711,2.734,2.771,2.69,2.632,2.611,2.631,2.87
40245,2.721,2.756,2.772,2.824,2.734,2.688,2.662,2.685,2.912
40252,2.76,2.794,2.83,2.842,2.777,2.731,2.697,2.731,2.941
40259,2.792,2.807,2.821,2.86,2.789,2.79,2.704,2.768,2.959
40266,2.765,2.787,2.814,2.849,2.766,2.739,2.689,2.791,2.972
40273,2.795,2.8,2.839,2.873,2.775,2.784,2.72,2.827,2.979
40280,2.829,2.837,2.876,2.897,2.816,2.815,2.755,2.864,3.019
40287,2.831,2.83,2.871,2.893,2.807,2.824,2.752,2.884,3.029
40294,2.815,2.828,2.874,2.9,2.802,2.788,2.737,2.887,3.035
40301,2.864,2.866,2.905,2.928,2.843,2.859,2.785,2.895,3.044
40308,2.87,2.886,2.916,2.936,2.869,2.852,2.793,2.909,3.056
40315,2.823,2.845,2.882,2.903,2.825,2.78,2.769,2.896,3.031
40322,2.741,2.773,2.823,2.834,2.751,2.671,2.705,2.854,2.984
40329,2.679,2.697,2.782,2.772,2.668,2.608,2.655,2.819,2.94
40336,2.674,2.657,2.763,2.726,2.628,2.643,2.624,2.79,2.948
40343,2.652,2.628,2.743,2.698,2.599,2.629,2.593,2.768,2.938
40350,2.696,2.668,2.76,2.759,2.634,2.696,2.611,2.771,2.961
40357,2.712,2.681,2.758,2.766,2.649,2.721,2.623,2.766,2.966
40364,2.676,2.649,2.748,2.729,2.617,2.669,2.589,2.756,2.974
40371,2.666,2.63,2.732,2.722,2.594,2.668,2.575,2.743,2.966
40378,2.672,2.62,2.726,2.697,2.589,2.689,2.57,2.749,2.988
