,Incentives,Programs,Laws and Regulations,State Incentives,Utility/Private Incentives
US,33.0,4.0,18,,
AZ,,,12,6.0,13.0
CA,,,56,41.0,52.0
CO,,,23,13.0,14.0
DC,,,13,4.0,2.0
IL,,,14,10.0,2.0
IA,,,9,5.0,4.0
MO,,,5,3.0,4.0
NM,,,10,6.0,8.0
OR,,,23,6.0,10.0
VA,,,24,5.0,5.0
WA,,,28,9.0,8.0
WV,,,8,1.0,2.0
WI,,,7,7.0,8.0
FL,,,7,2.0,12.0
GA,,,2,4.0,3.0
AK,,,4,1.0,4.0
IN,,,10,4.0,7.0
OK,,,11,6.0,4.0
NV,,,13,4.0,6.0
NC,,,13,9.0,7.0
TX,,,5,8.0,9.0
NY,,,15,10.0,26.0
OH,,,5,5.0,2.0
PA,,,5,9.0,6.0
UT,,,10,7.0,4.0
MI,,,3,6.0,15.0
NJ,,,20,11.0,6.0
KS,,,4,1.0,2.0
HI,,,12,2.0,2.0
VT,,,10,6.0,10.0
LA,,,5,3.0,3.0
ME,,,11,6.0,1.0
TN,,,3,2.0,4.0
CT,,,23,7.0,7.0
NH,,,8,2.0,5.0
AR,,,6,3.0,1.0
ID,,,4,3.0,2.0
MD,,,18,10.0,16.0
SC,,,10,6.0,4.0
RI,,,13,5.0,3.0
MS,,,5,1.0,4.0
MN,,,11,4.0,13.0
MT,,,7,2.0,1.0
NE,,,2,2.0,4.0
DE,,,7,5.0,3.0
MA,,,26,10.0,7.0
KY,,,5,1.0,1.0
AL,,,5,3.0,3.0
ND,,,5,2.0,1.0
WY,,,5,1.0,3.0
SD,,,3,2.0,2.0
