State,0 - 10,11 - 20,21 - 30,31 - 40,41 - 50,51 - 60,61 - 70,70+
Alabama,588631,676077,638177,633583,630402,628011,650556,633120
Alaska,98269,102770,100619,112341,112453,88233,85277,87424
Arizona,848564,959243,990909,1000536,967684,864493,854742,866925
Arkansas,376200,411448,384904,384776,397667,361972,377222,358151
California,4569223,5227052,5357672,5827869,5794592,5052065,4945507,4279995
Colorado,644329,749838,813064,901297,906995,763234,691814,672527
Connecticut,374373,457375,463635,450863,456982,434613,506496,474274
Delaware,111449,123196,118975,128564,127521,115539,128933,147565
District of Columbia,76642,69251,115426,145879,137643,84643,67253,60562
Florida,2238153,2536433,2556820,2738541,2784558,2683200,2873162,2861157
Georgia,1291051,1548435,1452591,1464846,1471887,1402226,1390523,1200696
Hawaii,164877,168774,182220,197767,201255,173470,175697,178722
Idaho,242981,280540,239341,246440,254006,237070,215339,223442
Illinois,1489735,1648365,1649309,1705429,1723513,1592936,1633050,1521359
Indiana,836027,942047,913707,882725,877366,833747,839609,825303
Iowa,388743,442184,423167,390807,403218,369985,378547,405998
Kansas,370226,419286,391268,376531,393139,335618,341147,354558
Kentucky,537373,605210,579428,582979,581671,551913,583121,562431
Louisiana,578023,622253,598401,610641,642984,556133,557125,567391
Maine,130107,149478,156639,165666,174806,158475,194658,208309
Maryland,725569,787673,769156,816525,860912,772103,824206,752253
Massachusetts,711428,862392,960523,979614,966312,839507,948444,877710
Michigan,1131553,1288086,1316885,1314354,1264306,1181072,1321930,1335832
Minnesota,689905,765151,718059,742562,776737,693799,715829,707667
Mississippi,350160,432369,375363,356944,376979,363405,357017,368105
Missouri,728997,823671,782164,800642,813704,737746,762855,792831
Montana,123286,139269,142361,139869,146419,126015,129670,156934
Nebraska,255872,281806,261886,252836,252966,238113,226475,233753
Nevada,367840,397946,402957,451763,460187,401667,397443,371657
New Hampshire,129629,164589,173724,178294,175250,161789,203868,201619
New Jersey,1067884,1172661,1131628,1185697,1222274,1188324,1287805,1150291
New Mexico,244942,288475,271191,279475,279777,252281,243855,278707
New York,2199722,2409010,2607807,2793961,2744221,2403025,2628699,2472395
North Carolina,1200528,1399471,1379618,1376664,1372905,1335190,1374663,1282944
North Dakota,103082,104204,115723,110330,108112,86632,84344,89552
Ohio,1385265,1529246,1509707,1539983,1523161,1394900,1511574,1523975
Oklahoma,508009,560563,537354,529075,544388,476574,460677,461888
Oregon,445285,515719,540089,595688,613130,551471,514818,533824
Pennsylvania,1401100,1616194,1607474,1694898,1709721,1511099,1714388,1743941
Rhode Island,108426,136574,147157,147146,147325,129209,143727,146727
South Carolina,583889,681937,644485,660935,669639,622909,661248,672072
South Dakota,121157,125518,111696,110211,118060,97304,101713,115194
Tennessee,822324,894977,917777,939035,928842,859957,893398,870704
Texas,3947434,4342899,4094641,4239952,4286200,3854535,3481784,2959563
Utah,498571,548377,531965,485796,472692,417224,324778,291067
Vermont,57690,79414,83730,76472,79552,72678,89349,95554
Virginia,995211,1129845,1143075,1156787,1188704,1102888,1113854,1031163
Washington,900375,955513,1038877,1165183,1167929,994852,939778,911652
West Virginia,186314,218676,212176,201957,208653,222345,235930,250038
Wisconsin,659346,772651,757768,737899,749374,699695,782712,777404
Wyoming,66289,81449,69808,70511,81310,68604,65935,78742
Puerto Rico,254038,382256,432850,402204,382262,419535,430375,427340
