Label (Grouping),Alabama!!Total!!Estimate,Alaska!!Total!!Estimate,Arizona!!Total!!Estimate,Arkansas!!Total!!Estimate,California!!Total!!Estimate,Colorado!!Total!!Estimate,Connecticut!!Total!!Estimate,Delaware!!Total!!Estimate,District of Columbia!!Total!!Estimate,Florida!!Total!!Estimate,Georgia!!Total!!Estimate,Hawaii!!Total!!Estimate,Idaho!!Total!!Estimate,Illinois!!Total!!Estimate,Indiana!!Total!!Estimate,Iowa!!Total!!Estimate,Kansas!!Total!!Estimate,Kentucky!!Total!!Estimate,Louisiana!!Total!!Estimate,Maine!!Total!!Estimate,Maryland!!Total!!Estimate,Massachusetts!!Total!!Estimate,Michigan!!Total!!Estimate,Minnesota!!Total!!Estimate,Mississippi!!Total!!Estimate,Missouri!!Total!!Estimate,Montana!!Total!!Estimate,Nebraska!!Total!!Estimate,Nevada!!Total!!Estimate,New Hampshire!!Total!!Estimate,New Jersey!!Total!!Estimate,New Mexico!!Total!!Estimate,New York!!Total!!Estimate,North Carolina!!Total!!Estimate,North Dakota!!Total!!Estimate,Ohio!!Total!!Estimate,Oklahoma!!Total!!Estimate,Oregon!!Total!!Estimate,Pennsylvania!!Total!!Estimate,Rhode Island!!Total!!Estimate,South Carolina!!Total!!Estimate,South Dakota!!Total!!Estimate,Tennessee!!Total!!Estimate,Texas!!Total!!Estimate,Utah!!Total!!Estimate,Vermont!!Total!!Estimate,Virginia!!Total!!Estimate,Washington!!Total!!Estimate,West Virginia!!Total!!Estimate,Wisconsin!!Total!!Estimate,Wyoming!!Total!!Estimate,Puerto Rico!!Total!!Estimate
Total population,"5,039,877","732,673","7,276,316","3,025,891","39,237,836","5,812,069","3,605,597","1,003,384","670,050","21,781,128","10,799,566","1,441,553","1,900,923","12,671,469","6,805,985","3,193,079","2,934,582","4,509,394","4,624,047","1,372,247","6,165,129","6,984,723","10,050,811","5,707,390","2,949,965","6,168,187","1,104,271","1,963,692","3,143,991","1,388,992","9,267,130","2,115,877","19,835,913","10,551,162","774,948","11,780,017","3,986,639","4,246,155","12,964,056","1,095,610","5,190,705","895,376","6,975,218","29,527,941","3,337,975","645,570","8,642,274","7,738,692","1,782,959","5,895,908","578,803","3,263,584"
    AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Under 5 years,"290,091","46,198","402,255","179,924","2,210,235","307,837","177,577","53,039","40,809","1,091,954","625,969","81,220","113,051","703,551","408,030","187,257","177,567","259,278","281,958","61,034","350,650","346,175","545,979","330,734","173,282","353,946","56,091","124,596","177,077","62,220","516,200","115,102","1,092,698","582,801","51,150","668,935","241,605","210,330","678,078","52,767","275,793","58,079","397,258","1,891,627","234,281","27,160","480,992","432,524","88,784","315,264","30,233","103,841"
        5 to 9 years,"298,540","52,071","446,309","196,276","2,358,988","336,492","196,796","58,410","35,833","1,146,199","665,082","83,657","129,930","786,184","427,997","201,486","192,659","278,095","296,065","69,073","374,919","365,253","585,574","359,171","176,878","375,051","67,195","131,276","190,763","67,409","551,684","129,840","1,107,024","617,727","51,932","716,330","266,404","234,955","723,022","55,659","308,096","63,078","425,066","2,055,807","264,290","30,530","514,219","467,851","97,530","344,082","36,056","150,197"
        10 to 14 years,"337,730","52,507","476,245","204,485","2,647,372","374,046","212,689","59,908","33,735","1,291,404","777,105","91,875","142,097","805,013","469,282","216,296","209,418","299,116","320,217","73,257","397,263","401,988","632,071","388,627","217,287","412,491","70,386","144,006","208,610","78,890","592,878","142,722","1,192,942","689,760","51,739","758,004","282,920","260,324","796,302","61,626","330,103","62,294","445,462","2,206,526","277,848","37,604","559,020","492,114","110,454","384,146","41,288","176,442"
        15 to 19 years,"338,347","50,263","482,998","206,963","2,579,680","375,792","244,686","63,288","35,516","1,245,029","771,330","76,899","138,443","843,352","472,765","225,888","209,868","306,094","302,036","76,221","390,410","460,404","656,015","376,524","215,082","411,180","68,883","137,800","189,336","85,699","579,783","145,753","1,216,068","709,711","52,465","771,242","277,643","255,395","819,892","74,948","351,834","63,224","449,515","2,136,373","270,529","41,810","570,825","463,399","108,222","388,505","40,161","205,814"
        20 to 24 years,"323,961","45,855","488,212","200,480","2,531,692","373,720","239,473","57,635","45,383","1,244,420","725,809","86,215","119,836","802,672","468,280","224,891","202,937","288,944","306,585","77,584","378,627","476,148","659,277","353,592","199,269","388,885","74,958","133,478","185,379","86,456","552,158","131,911","1,240,087","705,531","60,923","747,533","278,178","254,516","784,817","77,146","326,481","58,324","443,384","2,012,920","280,300","45,761","574,546","481,655","112,530","387,572","35,717","225,881"
        25 to 29 years,"314,216","54,764","502,697","184,424","2,825,980","439,344","224,162","61,340","70,043","1,312,400","726,782","96,005","119,505","846,637","445,427","198,276","188,331","290,484","291,816","79,055","390,529","484,375","657,608","364,467","176,094","393,279","67,403","128,408","217,578","87,268","579,470","139,280","1,367,720","674,087","54,800","762,174","259,176","285,573","822,657","70,011","318,004","53,372","474,393","2,081,721","251,665","37,969","568,529","557,222","99,646","370,196","34,091","206,969"
        30 to 34 years,"319,367","57,577","497,839","200,352","3,001,889","461,953","226,701","67,224","75,836","1,426,141","738,064","101,762","126,935","858,792","437,298","192,531","188,200","292,495","318,825","86,611","425,996","495,239","656,746","378,095","180,850","407,363","72,466","124,428","234,185","91,026","606,227","140,195","1,426,241","702,577","55,530","777,809","269,899","310,115","872,241","77,135","342,931","56,839","464,642","2,158,231","234,131","38,503","588,258","607,961","102,311","367,703","36,420","195,235"
        35 to 39 years,"311,035","54,876","469,845","197,315","2,792,703","445,042","230,281","60,297","61,807","1,358,417","733,823","99,493","127,071","864,721","440,068","210,687","204,939","289,176","324,159","88,195","434,916","471,073","607,560","398,642","196,129","406,341","73,953","128,538","226,002","84,224","616,047","139,582","1,317,980","670,328","52,582","745,352","274,489","303,015","837,480","70,190","326,708","61,221","464,200","2,127,969","238,561","41,049","600,446","559,968","106,342","381,671","44,890","187,027"
